epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.1258,0.45059,0.96423,1,0.11027,0.000331978,0.000331978,0.0671341
2,130.106,0.32051,0.95772,1,0.12908,0.000652138,0.000652138,0.034121
3,192.465,0.26768,0.96748,1,0.11654,0.000959099,0.000959099,0.0010946
4,253.635,0.22391,0.96748,1,0.13225,0.0009406,0.0009406,0.0009406
5,314.391,0.17559,0.94634,1,0.13806,0.0009208,0.0009208,0.0009208
6,374.857,0.22124,0.9626,1,0.0898,0.000901,0.000901,0.000901
7,435.719,0.1355,0.98862,1,0.03199,0.0008812,0.0008812,0.0008812
8,495.737,0.12451,0.97398,1,0.16704,0.0008614,0.0008614,0.0008614
9,555.711,0.1803,0.98049,1,0.0547,0.0008416,0.0008416,0.0008416
10,616.46,0.12923,0.97398,1,0.0676,0.0008218,0.0008218,0.0008218
11,676.495,0.10432,0.97724,1,0.06856,0.000802,0.000802,0.000802
12,737.983,0.10299,0.97073,1,0.06803,0.0007822,0.0007822,0.0007822
13,808.371,0.07967,0.98699,1,0.04797,0.0007624,0.0007624,0.0007624
14,883.939,0.09333,0.98049,1,0.05128,0.0007426,0.0007426,0.0007426
15,952.113,0.09182,0.98211,1,0.06205,0.0007228,0.0007228,0.0007228
16,1017.65,0.10352,0.98211,1,0.05055,0.000703,0.000703,0.000703
17,1080.51,0.08121,0.96911,1,0.07779,0.0006832,0.0006832,0.0006832
